season,team,age,wins,loss,py_wins,py_loss,marg_of_victory,stgth_of_sched,simp_rating_sys,off_rtg,def_rtg,net_rtg,pace,ft_att_rate,3pt_att_rate,shoot_pct,effect_fg,turnover,off_reb,ft_per_fg_att,effect_fg_def,turnover_def,def_reb,ft_per_fg_att_def,arena
1997,Houston Comets,28.8,18.0,10.0,22,6,6.32,-0.78,5.47,99.4,90.7,8.7,71.6,0.357,0.292,0.523,0.473,20.4,36.2,0.266,0.444,22.3,64.7,0.236,Compaq Center
1997,Phoenix Mercury,27.9,16.0,12.0,20,8,4.0,-0.49,3.44,91.4,86.1,5.3,74.7,0.359,0.247,0.473,0.411,18.8,33.2,0.274,0.441,24.2,68.5,0.245,America West Arena
1997,New York Liberty,27.5,17.0,11.0,17,11,2.39,-0.32,2.22,90.6,87.4,3.2,74.3,0.354,0.198,0.482,0.439,21.3,34.6,0.236,0.422,22.7,64.7,0.246,Madison Square Garden (IV)
1997,Los Angeles Sparks,25.5,14.0,14.0,17,11,2.21,-0.28,1.94,93.9,91.1,2.8,77.1,0.348,0.136,0.504,0.464,20.4,32.7,0.235,0.423,19.4,67.9,0.263,Great Western Forum
1997,Cleveland Rockers,28.1,15.0,13.0,16,12,1.79,-0.22,1.56,94.4,92.0,2.4,73.3,0.382,0.108,0.515,0.464,21.6,32.2,0.276,0.449,20.2,67.1,0.219,Gund Arena
1997,Charlotte Sting,27.0,15.0,13.0,16,12,1.29,-0.16,1.13,92.9,91.1,1.8,72.5,0.295,0.194,0.505,0.469,21.0,31.8,0.204,0.436,19.4,68.8,0.21,Charlotte Coliseum
1997,Sacramento Monarchs,27.7,10.0,18.0,5,23,-7.5,0.94,-6.56,90.4,100.4,-10.0,74.5,0.309,0.199,0.483,0.436,22.2,36.7,0.227,0.477,20.1,61.9,0.262,ARCO Arena (II)
1997,Las Vegas Aces,24.9,7.0,21.0,3,25,-10.5,1.31,-9.19,85.4,99.2,-13.8,75.0,0.296,0.196,0.449,0.404,20.5,33.3,0.208,0.461,18.1,65.1,0.241,Delta Center
2002,Los Angeles Sparks,26.9,25.0,7.0,25,7,6.78,-0.34,6.44,103.1,94.0,9.1,73.5,0.322,0.257,0.536,0.494,18.4,33.8,0.238,0.43,16.3,72.2,0.235,STAPLES Center
2002,Houston Comets,28.7,24.0,8.0,25,7,5.63,-0.25,5.38,97.1,88.7,8.4,66.4,0.329,0.187,0.509,0.455,18.3,31.0,0.255,0.415,18.2,69.4,0.176,Compaq Center
2002,Charlotte Sting,28.0,18.0,14.0,21,11,3.38,-0.62,2.76,105.9,100.8,5.1,65.7,0.37,0.294,0.538,0.489,16.4,32.8,0.274,0.467,17.0,68.9,0.246,Charlotte Coliseum
2002,Seattle Storm,24.5,17.0,15.0,20,12,2.66,0.01,2.67,98.8,95.0,3.8,68.7,0.279,0.26,0.5,0.454,17.9,35.4,0.215,0.459,20.4,67.3,0.239,KeyArena at Seattle Center
2002,New York Liberty,29.7,18.0,14.0,20,12,2.31,-0.2,2.11,99.0,95.5,3.5,65.4,0.326,0.23,0.525,0.485,18.7,28.6,0.23,0.442,19.2,66.2,0.279,Madison Square Garden (IV)
2002,Las Vegas Aces,29.0,20.0,12.0,19,13,2.31,-0.11,2.2,102.4,99.3,3.1,73.2,0.442,0.129,0.53,0.464,18.6,35.0,0.336,0.442,15.8,66.6,0.25,Delta Center
2002,Washington Mystics,26.3,17.0,15.0,17,15,0.59,-0.41,0.18,97.8,96.9,0.9,67.7,0.25,0.232,0.503,0.465,17.7,32.7,0.188,0.452,17.1,69.6,0.209,MCI Center
2002,Orlando Miracle,26.3,16.0,16.0,16,16,-0.03,-0.29,-0.32,100.3,100.4,-0.1,68.8,0.338,0.241,0.513,0.46,17.2,31.9,0.258,0.474,20.1,62.2,0.264,TD Waterhouse Centre
2002,Indiana Fever,26.1,16.0,16.0,14,18,-1.0,-0.01,-1.01,98.5,100.0,-1.5,66.3,0.318,0.298,0.504,0.45,17.4,32.8,0.249,0.487,18.7,68.7,0.198,Conseco Fieldhouse
2002,Portland Fire,25.6,16.0,16.0,14,18,-1.0,0.39,-0.61,96.3,97.8,-1.5,70.3,0.289,0.2,0.499,0.457,18.3,31.2,0.21,0.468,19.0,65.7,0.246,Rose Garden Arena
2002,Miami Sol,27.6,15.0,17.0,14,18,-1.31,0.13,-1.19,95.2,97.2,-2.0,66.3,0.285,0.21,0.49,0.452,17.2,29.9,0.199,0.47,20.5,67.3,0.272,AmericanAirlines Arena
2002,Cleveland Rockers,25.4,10.0,22.0,12,20,-2.16,0.07,-2.09,96.8,100.0,-3.2,65.3,0.304,0.205,0.502,0.451,17.9,31.6,0.236,0.475,17.2,70.8,0.216,Gund Arena
2002,Minnesota Lynx,23.8,10.0,22.0,11,21,-3.16,0.43,-2.73,92.8,97.5,-4.7,66.7,0.326,0.282,0.494,0.456,20.7,33.6,0.216,0.452,18.3,68.3,0.26,Target Center
2002,Sacramento Monarchs,28.7,14.0,18.0,10,22,-4.0,0.49,-3.51,94.5,100.1,-5.6,69.7,0.336,0.203,0.485,0.43,17.0,29.4,0.254,0.458,18.1,64.8,0.265,ARCO Arena (II)
2002,Dallas Wings,24.0,9.0,23.0,9,23,-4.75,-0.01,-4.76,92.3,98.9,-6.6,71.0,0.339,0.19,0.479,0.428,19.7,35.0,0.246,0.454,16.4,69.6,0.234,The Palace of Auburn Hills
2002,Phoenix Mercury,27.3,11.0,21.0,7,25,-6.25,0.73,-5.52,92.9,101.8,-8.9,70.3,0.285,0.174,0.492,0.446,19.1,29.7,0.214,0.496,18.7,67.0,0.233,America West Arena
2007,Dallas Wings,27.7,24.0,10.0,24,10,4.62,-0.24,4.38,99.9,94.1,5.8,78.8,0.347,0.195,0.517,0.465,17.8,32.8,0.263,0.441,17.0,75.1,0.242,The Palace of Auburn Hills
2007,Indiana Fever,28.6,21.0,13.0,22,12,3.24,-0.1,3.14,95.3,91.1,4.2,75.7,0.285,0.252,0.509,0.462,19.5,30.0,0.221,0.438,19.9,68.8,0.205,Conseco Fieldhouse
2007,Phoenix Mercury,26.6,23.0,11.0,22,12,3.56,-0.54,3.02,105.4,101.2,4.2,83.8,0.312,0.332,0.55,0.498,15.0,22.8,0.255,0.462,17.3,66.2,0.226,US Airways Center
2007,Seattle Storm,26.3,17.0,17.0,21,13,2.56,-0.62,1.94,104.1,100.8,3.3,76.9,0.324,0.289,0.541,0.487,17.4,31.1,0.263,0.467,16.1,71.1,0.206,KeyArena at Seattle Center
2007,Connecticut Sun,27.5,18.0,16.0,21,13,2.5,-0.01,2.4,99.6,96.4,3.2,77.7,0.268,0.242,0.514,0.47,17.0,29.7,0.209,0.456,16.7,72.0,0.205,Mohegan Sun Arena
2007,Sacramento Monarchs,27.3,19.0,15.0,19,15,1.38,-0.36,1.03,97.3,95.5,1.8,74.7,0.336,0.194,0.497,0.442,19.4,38.6,0.258,0.473,21.5,70.1,0.246,ARCO Arena (II)
2007,Las Vegas Aces,27.1,20.0,14.0,19,15,0.97,-0.13,0.84,97.9,96.6,1.3,74.8,0.265,0.26,0.518,0.472,18.7,29.4,0.213,0.457,19.3,67.9,0.247,AT&T Center
2007,Washington Mystics,27.3,16.0,18.0,15,19,-1.59,0.41,-1.18,96.8,98.9,-2.1,77.3,0.387,0.243,0.509,0.442,18.4,28.9,0.308,0.456,18.4,67.2,0.278,Verizon Center
2007,Chicago Sky,25.6,14.0,20.0,13,21,-2.53,0.51,-2.02,96.3,99.6,-3.3,75.2,0.318,0.239,0.486,0.447,16.4,31.2,0.215,0.47,18.3,67.4,0.223,UIC Pavilion
2007,New York Liberty,24.6,16.0,18.0,13,21,-2.68,0.52,-2.07,93.1,96.7,-3.6,75.5,0.277,0.314,0.515,0.475,20.7,25.5,0.206,0.454,18.2,67.4,0.216,Madison Square Garden (IV)
2007,Minnesota Lynx,23.7,10.0,24.0,12,22,-3.41,0.18,-3.23,98.4,102.7,-4.3,78.0,0.286,0.211,0.497,0.447,17.5,33.2,0.225,0.487,17.2,71.2,0.28,Target Center
2007,Houston Comets,27.6,13.0,21.0,12,22,-3.47,0.18,-3.29,95.6,100.1,-4.5,77.2,0.336,0.17,0.509,0.455,20.4,34.2,0.258,0.468,18.5,69.2,0.264,Toyota Center
2007,Los Angeles Sparks,27.0,10.0,24.0,10,24,-5.15,0.2,-4.95,94.5,101.0,-6.5,77.7,0.272,0.198,0.491,0.443,18.1,29.9,0.214,0.474,17.7,69.5,0.275,STAPLES Center
2012,Minnesota Lynx,28.1,27.0,7.0,29,5,9.79,-0.98,8.81,109.9,97.4,12.5,77.3,0.283,0.243,0.559,0.521,16.5,34.8,0.214,0.454,15.9,72.7,0.204,Target Center
2012,Indiana Fever,28.0,22.0,12.0,26,8,6.0,-0.65,5.36,104.4,96.4,8.0,74.5,0.294,0.303,0.53,0.478,15.6,29.4,0.239,0.471,19.7,68.0,0.2,Bankers Life Fieldhouse
2012,Los Angeles Sparks,27.0,24.0,10.0,25,9,5.76,-0.82,4.94,105.6,98.3,7.3,79.2,0.297,0.234,0.546,0.5,17.4,33.5,0.236,0.46,16.7,69.5,0.197,STAPLES Center
2012,Las Vegas Aces,27.6,21.0,13.0,24,10,5.12,-0.38,4.74,106.8,100.2,6.6,76.2,0.274,0.293,0.541,0.5,14.7,27.7,0.213,0.484,17.5,70.3,0.187,AT&T Center
2012,Connecticut Sun,26.4,25.0,9.0,23,11,4.21,-0.86,3.35,103.3,98.0,5.3,77.8,0.283,0.238,0.525,0.473,15.7,29.2,0.234,0.475,17.4,70.2,0.172,Mohegan Sun Arena
2012,Atlanta Dream,26.9,19.0,15.0,21,13,2.82,-0.24,2.59,98.0,94.5,3.5,78.7,0.304,0.21,0.509,0.465,17.6,29.6,0.225,0.46,19.0,70.9,0.209,Philips Arena
2012,Chicago Sky,27.1,14.0,20.0,17,17,-0.24,0.16,-0.08,97.4,97.7,-0.3,75.6,0.268,0.277,0.515,0.478,19.6,32.8,0.196,0.475,18.0,74.9,0.245,Allstate Arena
2012,Seattle Storm,30.0,16.0,18.0,16,18,-0.41,-0.03,-0.44,95.6,96.2,-0.6,74.2,0.295,0.338,0.534,0.493,20.3,22.5,0.221,0.438,15.5,70.4,0.209,KeyArena at Seattle Center
2012,New York Liberty,28.1,15.0,19.0,11,23,-4.15,0.22,-3.93,96.1,101.6,-5.5,76.0,0.2,0.252,0.501,0.469,18.3,29.9,0.151,0.475,16.2,68.4,0.208,Prudential Center
2012,Dallas Wings,25.6,9.0,25.0,8,26,-6.97,1.17,-5.8,98.0,106.9,-8.9,77.9,0.294,0.31,0.505,0.464,16.2,26.5,0.213,0.531,20.0,66.2,0.241,BOK Center
2012,Washington Mystics,26.7,5.0,29.0,5,29,-9.71,0.93,-8.78,91.6,104.6,-13.0,74.6,0.275,0.223,0.486,0.446,19.2,30.3,0.198,0.5,17.9,68.9,0.248,Verizon Center
2012,Phoenix Mercury,25.2,7.0,27.0,4,30,-12.24,1.49,-10.75,93.0,108.3,-15.3,79.5,0.274,0.273,0.472,0.424,17.3,32.6,0.209,0.49,14.2,70.0,0.232,US Airways Center
2017,Minnesota Lynx,31.3,27.0,7.0,30,4,11.12,-0.89,10.22,109.3,95.1,14.2,78.1,0.272,0.238,0.563,0.523,15.7,30.3,0.216,0.466,17.5,75.9,0.18,Xcel Energy Center
2017,Los Angeles Sparks,28.1,26.0,8.0,28,6,8.32,-0.74,7.59,107.1,96.4,10.7,77.4,0.273,0.236,0.564,0.52,15.2,22.2,0.225,0.477,18.5,74.1,0.212,STAPLES Center
2017,Connecticut Sun,24.9,21.0,13.0,23,11,4.41,-0.28,4.14,106.0,100.6,5.4,81.1,0.278,0.249,0.531,0.493,13.4,27.3,0.206,0.479,15.2,77.6,0.222,Mohegan Sun Arena
2017,New York Liberty,26.8,22.0,12.0,22,12,3.12,-0.14,2.98,102.9,98.9,4.0,77.2,0.285,0.246,0.512,0.466,14.4,30.7,0.222,0.452,13.6,78.8,0.238,Madison Square Garden (IV)
2017,Washington Mystics,27.0,18.0,16.0,18,16,0.74,-0.29,0.45,105.8,104.8,1.0,76.7,0.313,0.315,0.526,0.466,13.5,29.0,0.264,0.478,13.5,73.5,0.208,Verizon Center
2017,Phoenix Mercury,29.6,18.0,16.0,17,17,0.0,0.28,0.28,102.9,102.9,0.0,78.7,0.354,0.295,0.545,0.49,15.8,22.9,0.279,0.477,15.4,73.2,0.249,Talking Stick Resort Arena
2017,Seattle Storm,27.6,15.0,19.0,17,17,0.0,-0.17,-0.17,105.8,105.8,0.0,77.2,0.292,0.314,0.574,0.53,16.5,20.8,0.236,0.491,14.8,71.1,0.207,KeyArena at Seattle Center
2017,Dallas Wings,24.8,16.0,18.0,13,21,-2.65,0.42,-2.23,105.4,108.7,-3.3,80.5,0.374,0.295,0.521,0.453,14.3,29.9,0.308,0.521,16.0,72.7,0.261,College Park Center
2017,Atlanta Dream,26.0,12.0,22.0,12,22,-3.76,0.18,-3.59,97.7,102.3,-4.6,79.6,0.302,0.218,0.491,0.441,14.1,26.9,0.23,0.479,15.9,74.4,0.256,McCamish Pavilion
2017,Chicago Sky,27.9,12.0,22.0,10,24,-5.12,0.32,-4.8,100.0,106.2,-6.2,80.7,0.203,0.243,0.539,0.507,17.2,22.7,0.159,0.476,12.8,70.9,0.226,Allstate Arena
2017,Las Vegas Aces,25.8,8.0,26.0,8,26,-6.97,0.56,-6.41,96.2,105.2,-9.0,76.7,0.265,0.218,0.508,0.465,18.3,27.7,0.204,0.495,14.5,73.4,0.237,AT&T Center
2017,Indiana Fever,27.3,9.0,25.0,6,28,-9.21,0.76,-8.45,97.6,109.5,-11.9,76.3,0.254,0.223,0.513,0.463,15.6,21.4,0.214,0.521,16.4,70.5,0.269,Bankers Life Fieldhouse
2022,Connecticut Sun,28.0,25.0,11.0,29,7,8.03,-0.8,7.23,108.5,98.3,10.2,78.5,0.288,0.261,0.552,0.508,15.6,31.6,0.227,0.494,17.6,79.5,0.197,Mohegan Sun Arena
2022,Las Vegas Aces,26.9,26.0,10.0,26,10,6.36,-0.59,5.78,111.9,104.0,7.9,80.6,0.282,0.376,0.573,0.528,12.3,19.9,0.232,0.502,13.9,77.6,0.185,Michelob ULTRA Arena
2022,Chicago Sky,30.0,26.0,10.0,25,11,5.0,-0.15,4.85,107.7,101.5,6.2,79.2,0.245,0.309,0.574,0.535,15.5,22.7,0.202,0.483,14.4,76.2,0.176,Wintrust Arena
2022,Washington Mystics,28.0,22.0,14.0,25,11,4.36,-0.55,3.82,103.5,97.8,5.7,76.7,0.268,0.337,0.538,0.496,14.6,23.3,0.21,0.485,16.2,80.1,0.195,Entertainment and Sports Arena
2022,Seattle Storm,29.7,22.0,14.0,24,12,4.11,-0.2,3.91,104.9,99.7,5.2,78.3,0.219,0.372,0.547,0.509,14.5,21.8,0.18,0.485,16.1,75.0,0.172,Climate Pledge Arena
2022,Dallas Wings,25.4,18.0,18.0,18,18,0.19,-0.16,0.04,106.6,106.3,0.3,77.6,0.304,0.331,0.536,0.492,14.1,27.6,0.232,0.514,15.2,75.9,0.224,College Park Center
2022,Minnesota Lynx,28.5,14.0,22.0,16,20,-1.47,0.29,-1.19,104.4,106.3,-1.9,78.4,0.29,0.293,0.545,0.501,16.1,26.7,0.227,0.503,12.9,78.0,0.199,Target Center
2022,New York Liberty,26.9,16.0,20.0,14,22,-2.39,0.42,-1.97,101.1,104.1,-3.0,77.9,0.225,0.414,0.543,0.504,16.6,20.7,0.185,0.469,13.0,75.4,0.247,Barclays Center
2022,Atlanta Dream,26.2,14.0,22.0,13,23,-3.0,0.02,-2.98,98.1,101.8,-3.7,79.5,0.253,0.313,0.516,0.475,16.7,24.5,0.197,0.494,15.7,78.5,0.24,Gateway Center Arena @ College Park
2022,Phoenix Mercury,29.9,15.0,21.0,14,22,-3.0,0.04,-2.97,102.6,106.4,-3.8,78.2,0.28,0.401,0.543,0.495,15.1,19.9,0.229,0.501,15.5,71.5,0.222,Footprint Center
2022,Los Angeles Sparks,27.2,13.0,23.0,8,28,-7.11,0.62,-6.49,99.6,108.6,-9.0,79.5,0.273,0.253,0.53,0.487,15.6,20.6,0.215,0.532,17.1,73.5,0.244,Crypto.com Arena
2022,Indiana Fever,25.4,5.0,31.0,5,31,-11.08,1.06,-10.02,96.6,110.3,-13.7,80.2,0.279,0.29,0.5,0.458,16.3,26.6,0.208,0.526,15.5,72.7,0.248,Indiana Farmers Coliseum
2026,Minnesota Lynx,29.6,14.0,4.0,16,2,11.33,-0.05,11.28,113.3,99.1,14.2,80.2,0.25,0.293,0.58,0.545,15.1,29.4,0.197,0.459,15.8,74.3,0.246,Target Center
2026,Atlanta Dream,26.2,12.0,5.0,12,5,6.06,1.24,7.3,112.1,104.5,7.6,79.4,0.342,0.378,0.549,0.506,13.2,32.4,0.252,0.532,17.8,80.1,0.236,Gateway Center Arena
2026,New York Liberty,29.5,12.0,6.0,13,5,5.89,-2.04,3.85,112.6,105.2,7.4,78.4,0.346,0.44,0.6,0.543,16.3,24.8,0.297,0.493,12.1,77.0,0.186,Barclays Center
2026,Golden State Valkyries,28.5,11.0,7.0,13,5,4.78,0.68,5.45,110.1,103.8,6.3,75.7,0.293,0.456,0.534,0.49,11.6,26.5,0.224,0.495,15.1,75.3,0.239,Chase Center
2026,Dallas Wings,26.8,11.0,6.0,11,6,4.47,1.12,5.59,112.3,106.6,5.7,79.0,0.249,0.34,0.556,0.521,11.4,24.6,0.192,0.522,15.0,78.0,0.217,College Park Center
2026,Las Vegas Aces,29.6,12.0,5.0,11,6,3.47,0.18,3.65,112.0,107.6,4.4,79.7,0.264,0.335,0.577,0.545,13.7,24.9,0.199,0.501,13.0,77.0,0.213,Michelob ULTRA Arena
2026,Indiana Fever,27.0,10.0,8.0,11,7,2.83,-0.45,2.38,112.2,108.8,3.4,81.7,0.341,0.401,0.59,0.539,16.3,25.7,0.281,0.509,13.6,77.4,0.298,Gainbridge Fieldhouse
2026,Toronto Tempo,28.4,8.0,9.0,7,10,-2.35,-1.78,-4.13,110.7,113.6,-2.9,80.2,0.344,0.401,0.568,0.511,14.2,24.4,0.287,0.529,14.9,69.1,0.265,Coca-Cola Coliseum
2026,Los Angeles Sparks,30.0,8.0,8.0,6,10,-2.94,0.03,-2.9,109.3,112.9,-3.6,80.2,0.338,0.39,0.571,0.522,15.8,25.2,0.267,0.538,15.2,70.7,0.245,Crypto.com Arena
2026,Washington Mystics,23.4,8.0,8.0,6,10,-3.13,0.68,-2.44,103.0,106.9,-3.9,78.3,0.424,0.303,0.547,0.491,17.4,28.9,0.317,0.498,14.7,77.1,0.27,CareFirst Arena
2026,Phoenix Mercury,30.2,6.0,13.0,7,12,-3.47,1.58,-1.9,106.2,110.6,-4.4,78.3,0.361,0.371,0.552,0.496,14.8,23.0,0.288,0.535,14.9,76.0,0.222,Mortgage Matchup Center
2026,Chicago Sky,28.7,5.0,12.0,5,12,-4.76,1.09,-3.67,102.5,108.3,-5.8,80.8,0.376,0.326,0.522,0.466,13.6,23.2,0.284,0.484,14.0,69.7,0.265,Wintrust Arena
2026,Portland Fire,25.9,8.0,10.0,4,14,-6.78,0.3,-6.48,105.6,114.4,-8.8,77.6,0.272,0.407,0.555,0.512,16.5,24.1,0.218,0.53,15.2,67.0,0.278,Moda Center
2026,Seattle Storm,25.4,3.0,15.0,4,14,-7.11,-0.93,-8.04,100.4,109.5,-9.1,77.9,0.296,0.389,0.53,0.479,15.6,20.2,0.24,0.487,13.1,70.4,0.258,Climate Pledge Arena
2026,Connecticut Sun,24.7,3.0,15.0,4,14,-8.39,-1.55,-9.94,100.1,110.7,-10.6,79.2,0.323,0.278,0.505,0.466,14.6,29.3,0.222,0.527,16.3,74.7,0.312,Mohegan Sun Arena
