,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,DRB%,dFT/FGA,,Arena
1,Minnesota Lynx,29.6,14,4,16,2,11.33,-0.05,11.28,113.3,99.1,+14.2,80.2,.250,.293,.580,,.545,15.1,29.4,.197,,.459,15.8,74.3,.246,,Target Center
2,Atlanta Dream,26.2,12,5,12,5,6.06,1.24,7.30,112.1,104.5,+7.6,79.4,.342,.378,.549,,.506,13.2,32.4,.252,,.532,17.8,80.1,.236,,Gateway Center Arena
3,New York Liberty,29.5,12,6,13,5,5.89,-2.04,3.85,112.6,105.2,+7.4,78.4,.346,.440,.600,,.543,16.3,24.8,.297,,.493,12.1,77.0,.186,,Barclays Center
4,Golden State Valkyries,28.5,11,7,13,5,4.78,0.68,5.45,110.1,103.8,+6.3,75.7,.293,.456,.534,,.490,11.6,26.5,.224,,.495,15.1,75.3,.239,,Chase Center
5,Dallas Wings,26.8,11,6,11,6,4.47,1.12,5.59,112.3,106.6,+5.7,79.0,.249,.340,.556,,.521,11.4,24.6,.192,,.522,15.0,78.0,.217,,College Park Center
6,Las Vegas Aces,29.6,12,5,11,6,3.47,0.18,3.65,112.0,107.6,+4.4,79.7,.264,.335,.577,,.545,13.7,24.9,.199,,.501,13.0,77.0,.213,,Michelob ULTRA Arena
7,Indiana Fever,27.0,10,8,11,7,2.83,-0.45,2.38,112.2,108.8,+3.4,81.7,.341,.401,.590,,.539,16.3,25.7,.281,,.509,13.6,77.4,.298,,Gainbridge Fieldhouse
8,Toronto Tempo,28.4,8,9,7,10,-2.35,-1.78,-4.13,110.7,113.6,-2.9,80.2,.344,.401,.568,,.511,14.2,24.4,.287,,.529,14.9,69.1,.265,,Coca-Cola Coliseum
9,Los Angeles Sparks,30.0,8,8,6,10,-2.94,0.03,-2.90,109.3,112.9,-3.6,80.2,.338,.390,.571,,.522,15.8,25.2,.267,,.538,15.2,70.7,.245,,Crypto.com Arena
10,Washington Mystics,23.4,8,8,6,10,-3.13,0.68,-2.44,103.0,106.9,-3.9,78.3,.424,.303,.547,,.491,17.4,28.9,.317,,.498,14.7,77.1,.270,,CareFirst Arena
11,Phoenix Mercury,30.2,6,13,7,12,-3.47,1.58,-1.90,106.2,110.6,-4.4,78.3,.361,.371,.552,,.496,14.8,23.0,.288,,.535,14.9,76.0,.222,,Mortgage Matchup Center
12,Chicago Sky,28.7,5,12,5,12,-4.76,1.09,-3.67,102.5,108.3,-5.8,80.8,.376,.326,.522,,.466,13.6,23.2,.284,,.484,14.0,69.7,.265,,Wintrust Arena
13,Portland Fire,25.9,8,10,4,14,-6.78,0.30,-6.48,105.6,114.4,-8.8,77.6,.272,.407,.555,,.512,16.5,24.1,.218,,.530,15.2,67.0,.278,,Moda Center
14,Seattle Storm,25.4,3,15,4,14,-7.11,-0.93,-8.04,100.4,109.5,-9.1,77.9,.296,.389,.530,,.479,15.6,20.2,.240,,.487,13.1,70.4,.258,,Climate Pledge Arena
15,Connecticut Sun,24.7,3,15,4,14,-8.39,-1.55,-9.94,100.1,110.7,-10.6,79.2,.323,.278,.505,,.466,14.6,29.3,.222,,.527,16.3,74.7,.312,,Mohegan Sun Arena
,League Average,27.6,,,9,9,0.00,0.00,0.00,108.2,108.2,,79.1,.320,.367,.556,,.509,14.7,25.8,.250,,.509,14.7,74.2,.250,,