,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%3PA,3P%
1,Chicago Sky,34,6972,.406,11.3,,.761,.319,.108,.193,.141,.239,,.426,.545,.339,.375,.295,.342,,.589,.871,,.072,.308
2,Connecticut Sun*,34,6725,.430,11.7,,.754,.276,.150,.184,.144,.246,,.459,.614,.345,.388,.372,.341,,.582,.769,,.082,.298
3,Detroit Shock*,34,6850,.430,10.7,,.805,.326,.121,.246,.111,.195,,.447,.551,.344,.373,.418,.357,,.538,.791,,.106,.383
4,Houston Comets,34,6800,.426,10.1,,.830,.323,.178,.201,.128,.170,,.442,.575,.363,.342,.376,.345,,.563,.905,,.132,.292
5,Indiana Fever*,34,6875,.419,11.6,,.748,.290,.148,.179,.132,.252,,.444,.600,.330,.341,.365,.344,,.488,.851,,.121,.455
6,Los Angeles Sparks,34,6900,.408,10.7,,.802,.311,.145,.209,.137,.198,,.422,.513,.409,.351,.337,.351,,.536,.850,,.035,.188
7,Minnesota Lynx,34,6875,.412,10.9,,.789,.277,.179,.204,.107,.211,,.435,.561,.382,.371,.320,.329,,.547,.883,,.081,.250
8,New York Liberty*,34,6650,.417,12.1,,.687,.296,.107,.195,.090,.313,,.437,.546,.269,.400,.358,.372,,.470,.844,,.121,.354
9,Phoenix Mercury*,34,6850,.439,12.1,,.668,.300,.124,.146,.099,.332,,.482,.609,.323,.415,.397,.353,,.556,.880,,.062,.280
10,Sacramento Monarchs*,34,6950,.407,9.9,,.806,.346,.167,.202,.091,.194,,.419,.520,.339,.338,.361,.357,,.537,.882,,.051,.455
11,San Antonio Silver Stars*,34,6875,.424,11.5,,.740,.290,.139,.174,.110,.260,,.445,.547,.373,.354,.396,.366,,.536,.802,,.085,.396
12,Seattle Storm*,34,6825,.436,11.7,,.711,.267,.176,.173,.095,.289,,.471,.604,.407,.379,.383,.351,,.477,.804,,.161,.320
13,Washington Mystics,34,6900,.404,11.0,,.757,.329,.148,.165,.115,.243,,.435,.556,.315,.377,.325,.309,,.472,.828,,.129,.279
,League Average,34,6849,.420,11.2,,.758,.304,.145,.190,.115,.242,,.443,.564,.353,.369,.360,.348,,.532,.842,,.096,.333